Address,Level
0x6303c5d9050d36d899418711e5f44f597a6dd030,5
0xe8ce42cb068f42c3f5f9feebd4cb4f7076359abd,5
0x44491daac11ff9962fa4ae1b64e9f01471437890,5
0x289769b63e4727616c340989e396fe69ab42ed93,4
0xb94dc9152d1702e724b821174e9247364e677805,4
0xf41ff25277ad59f631e88cbb544796926434b514,4
0x7811c360a5cfa1377ffdcc95b95dfd21db0dac06,4
0x96d66e84ed614233800bb24d2f65afb88b153237,3
0x0ec2933c27fbe7f696465533c9d9a194456b283f,3
0xed878e692cb71d5cf855864252e75724881391ae,3
0xaa19376d6de3f290107f88005aadefa92a4c7a5d,3
0xc32bfe6c9141b25ddb628e73786b746c7a27b216,3
0x87908a60f4c94204164eb107c149d64b3cc13156,2
0x23c70f5c9b9e91a6fe6ffc473f0475bc2686b10a,2
0x977fc4ac0244d9fc0e081383d5f1b73efce18380,2
0x65a4b717d9950cc364aa37a89a78c2bef3559200,2
0xc8baeb428b9afa07db04201f826b267ca379c0fb,1
0x48e5d1322a93b95fee46bb4ea47155afd3a200ec,1
0x0330f6be6ace2d975b4ac7be109c46015c508bb1,1
0x27daeace9370b53f38073474ae44e04f1777331c,1
0x16204069922fc4242fbbc5c664970c9601015865,1
0x2aed14fe7bd056212cd0ed91b57a8ec5a5e33624,1
0x2d7f08fb88264198031c8e3a799f20afde78f62f,1
0x7607dd7fc764692b0c832fdd35d956639556fc27,1
0xc924ed4ae21858e693e9d5ec8016b2b2945c97a8,1
0xb93a0acada8ed84ca5ec1727951a10924b2fdd49,1
0xb4f63bf3fec95638755c55abd6fb942ee16e9a26,1
0x010722f928eb0e28050feccfc3fc198e89529d6e,1
0x14c6a3fb0fa46a43d01dc7426d7c27cf8c71c10a,1
0x94b9ae0d9dae936043bafe8a60b8ed746e952f0c,1
0x984a5b2c8e629911c00f3937a5a49a43b158398a,1
0xb52e0e3fce591ac274438d0d96b2373de26c7ff0,1
0x2e2c4ac19c93d0984840cdd8e7f77500e2ef978e,1
0x63545fe465f0db0aefe720c7f5ccad550027b6d6,1
0xdfaa00d9607df30ecde153c9eb2a5a004f68aa6b,1
0x9a0f62b9a86187a03f4459d3130e9792eee8aeb9,1
0x7ed6ed28233d19470b4b4af3d37605b7642ce808,1
0x860898f92f4c08448105be3472803dff82e65d83,1
0x509b778b9b3cab94f15680a668a2e3c28bcfbf92,1
0x117b66da9d194596b98ebfca20cf1cea95d4c613,1
0x8f51dc0791cddddce08052fff939eb7cf0c17856,1
0xc28c6f440da854ea01de234ec460b93b49c75bdd,1
0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,1
0x55c50cd11b6169aa4267e73c8fb9f89e33413b6d,1
0xe945bfde6344f64062b43b1c2856c5fa5d58600e,1
0x839275b859aaddd789005ced6cee51f5c655df9c,1
0x01b37edd07ea71eaf552b6ef1b8dcfbb328e1f39,1
