
Address,Tier
0x59DDA36bD196Ec849838CE2163E6821f946b37Dc,5
0x5A9dECFD5f146FCD1D1b85B2Ee069F4502fC87E4,5
0xCaD3887923B39cD2b0B6d13538C4ecB7C5EE9825,5
0x841C11b14c428dd591093348B8Afa2652C863988,5
0xDA47bdcC48f26FB4709f90316341D9104cB1fb89,5
0x3d958C62b36e01018644538Bd1998C1E9BE1dDD8,5
0x6eAd98AC60771343A361cf7558E8493b32fC8304,5
0x42D47645130B5A57FE5a3d06b3Fc464D6dC9b400,5
0x39B8eDbC6D6bAB985Bf03B498166DB588c00278e,5
0x655a82f13b3f6341EC4a2eC83e5EDAe9f2240398,5
0x1a3b813809970d6cb2f40b6acc8cd7b305230ddd,5
0x3566F9562d1bC28DF6c5dc744AB40Ef11C56e4a5,5
0x16204069922fc4242FbbC5c664970c9601015865,5
0x8152004d6660a2182018352ab8aa6e917cdb3239,4
0x0cf1E3ff8e12477B5C1951cAEF0305D422535d2a,4
0x2AeD14FE7bd056212cD0eD91b57a8EC5A5E33624,4
0x8f51DC0791CdDDDCE08052FfF939eb7cf0c17856,4
0x526C9C964440EBc308Ac95f3Df68feB5673A4714,4
0xccf05cf889dffbd44fafb0e25e3ef4850881b0ac,4
0x8C6e8021de64150BF374640Eaf7732542D93aEb8,4
0x1715Fe4beb202cfb8A76a91C6C0677dC3fBefCb4,4
0x200F8e7F0982d1eE184a7b58CAe8953EAe128f0E,4
0x3E7F054563682c42bd4907b88D0DC27557992576,4
0x2060e34f63eEfD81f29Da6F8453953EaeD21e778,4
0xC0445DBF7BAa9047a728ec7A691982F8b17f99BD,3
0x856BA87E2e909321Ab547B8C3cfB4Ab4206b48C2,3
0x029Acdbe5404114088b0824803FD04a7B9ee33A2,3
0x8D5f90a132a37ca6a8d6Cc76F0A75cBaB8Da8b75,3
0x7d85fcbb505d48e6176483733b62b51704e0bf95,3
0x2d14446f9f3fbbe7931ca20230ffc9453e25f161,3
0x152ea9A5D9e0A76A2aCd3bA7c0A5c70422Cf1B80,3
0x4461EaBEC259e164aD5DA873d5Fc4c0E1fe8e6b5,3
0xe7a8DeA3c2521a883D01E1B714b4480e64322462,3
0xd351E7184211116a9B756DcBc4979d82b6fe47ca,3
0x577330c3AB28B6Ea0797D1552eA9edEB067C912C,3
0xC117d2f70BE4A766e7F3e055547E7C5403D447BC,3
0x830f2179Dd5D89786b8110BBE76840530380EADa,3
0x0d1f5d146b7d8632d94caef11c6b4dc4e558503b,3
0x1B49D8c6eCf5c76bC8276771813c534C1dC0f64a,3
0xe0150c1c32a0b4f137b32a79376053da3f96ff70,3
0x3fB0D1e89693b8709de60d835452a4712d1c9B04,3
0xE8D5fc9dc2EacF6FCbB97E7F92049834643DEe44,3
0x25bdFF8dB8d80971935A7f38A0CF31DeC62f7696,3
0x441ac4115937f4Add72D0D249dE17E69AA996D03,3
0x04e88fa583729ea0abbe55043620a71bd45865da,3
0x25ADf50119f91cfDd59D20318fcB70aaA0F1b26F,3
0xa7CA400d49BBa87EB606ee05af93689BD21FaB99,3
0xE489023ae3Cf6F6A50522eB84db8cC245730b3F3,3
0x8Df9894FB34127FDd1F04e7F9Ea33EB7735e59C2,3
0x6058DeEFB60B2f5d25F949EaFF69aBbC1F97F3dA,3
0xD0352D08AA93C9bc9C79d2B3a53846DCd7c9cb92,3
0x50418699cb44bfda9c9afc9b7a0b0d244d8927d2,3
0x68D1ec655D64Bba7a95b6f6B745D9627734D39D6,3
0x1FaF59040e9087675A7198E3C79d34dE2f5796b1,3
0x02B1cb4dE1AF0D10a53d0EfC243E56F6bAa39c1a,3
0x79c2D72552Df1C5d551B812Eca906a90Ce9D840A,3
0xf905c05a274b4775432b43D1b651e26039ec6354,3
0x5a640aC15E7cA26e6067B2F8dd53a7142016b596,3
0x5076f87610Ff3D5f859d562a050Dae82F6b3C63e,3
0xCa63608615DE005339652C0ECA93C5836eB0C2BD,3
0x5D28FE1e9F895464aab52287d85Ebff32B351674,3
0x67434E4F16fb70E59c91b8642522fAC5b0C292C1,3
0x654bc773CEbAA1213193954707c563B7db3B8cE8,3
0x037Eb04AD9DDFf984F44Ce5941D14b8Ea3781459,3
0xeafd50b4a90d8b643073b6dfa56286e4a987a60c,3
0xE564ef4523CB7931bAFd6eCB36814B2B3691E1A4,3
0xa09299bcEA6342653e04e3Cc4fA8ae7022d9533B,3
0x2870f26d92c92220cb56043af97318704f4c44bd,3
0x7eE789B7E6FA20eab7ECBcE44626AfA7f58a94b7,3
0x9e6fed90125854c1c93046b35646f55896a69e61,3
0x2c26F0A08b667c279Fe90cD4ed81e7fa9328FF50,3
0x9F75582d2bE13b5EE454161EE394daadA8B39efa,3
0x5A227E2919A49f9d4698e9fd2B318EfCd0f16Bda,3
0x5F9B881eBA612d7529F1A455F525E6DD8764039A,3
0xB0531AA687806b903B17266573312D28725FB315,3
0x63757e9c621AE7963F2DB2C7F02A1CDD89d6375D,3
0x36F72624016C75E96006EC9eD64C575DA538e364,3
0xf7c163C94441673FD3B998910FFcc596d8E34DF8,3
0xD5288ED50a195017E5B30595F65091a7767817a4,3
0xDEb0804D5e54D49c1923Da459730E66b60EeaD6B,3
0xA906c85B7e809b79c5e69d485693B44d65B1B252,3
0x7F4765A8c1F9f782fDC98FcDCcED1EB10a5C1220,3
0x017ff2643e1a6d500a54e2c15f8186c87795cbbe,3
0x5c89c420a9e82ea9aedbaaab03302e39982919b9,3
0xADd2d42138440a6017F273F58E359a6333c51904,3
0x0ea26051F7657d59418da186137141CeA90D0652,3
0x5c7291e18c3ecF30E14CCf1DCD646c0CA3309113,3
0xDF088A35572D8E7D826A0509A6257f1fc964f44C,3
0x287d47ba05AC97796E6a0d09835EB07Fc93B7983,3
0xCd818A14C8c74426D417B0E04Ea227BD5a243Ca0,3
0x839395e20bbB182fa440d08F850E6c7A8f6F0780,3
0x7cbBCE801d7EEC9aAfEBC63dA618B510a247D8Cb,3
0x58F7ff14700A754a652B3E6F5Edcb51e617C4e86,3
0x5EAf9025b1e3459Eba17Ce8A4959158Ac1CDCbdb,3
0x74897055bE76f4B25F8c5E1c7311e86e74CE8BAf,3
0x5B625088Ee2E0E9E3D0BD8AB6Ba3839d68886d2D,3
0xE73a198e7C07c418D7dcFd42f5E953074aBbD125,3
0xd6b97e042d03EdBDc100Eb55fbE43Eb75f2e3036,3
0xfbCA78474A09E2BF3543f4Fc1037152ea2c6C32d,3
0xdD866169DBCf639ed57f0020c5C9F4F4E1AAB263,3
0xe3F4F3aD70C1190EC480554bbc3Ed30285aE0610,3
0x7d03C5c37f77Fd01211334B9115CA108C84E8f3B,3
0xd33AAe1defD629dbA3D3D9c225B1274788127318,3
0xF3Ad97364bcCC3eA0582Ede58C363888f8C4ec85,3
0x6af616630EC99a65050416e89e0360eA6D7dBec7,3
0xB2b8C08a9AEB0E22242e6fC9cD78FC2402cBC503,3
0x819e90ea77324d89e10f973225c85782853a7f49,3
0xf2b22e4cfa1f9d20d6fec2e7225e14e72de5ca59,3
0x5aEa54f793e7aA4540ECD636D1420896e5e477fc,3
0xFFf5b69C512D539E3e9740480bd2925da9217df0,3
0xB0907eb875482c01FFF7eFD686C46842BD7a21D9,3
0xF64bBc221f89cc882fBa507908bbE4Ae3Ad2F470,2
0xCe849efC35A0a0a046E67c76B477c5432E4BA58b,2
0xF427EbbEb0AeE1b06C99333001009188B5086934,2
0x06538E448215C8f19e3C6F266B7325f9bF0D47c7,2
0x0B8FceE15918C389C436f2ce8F3ad88804b2B92D,2
0xFf6ed551Dc0DAC01B989bF7bCA7F2348df8f074A,2
0x528fD0eDf2D42b4691d6F2a3a040F1610510065C,2
0x417DfE511fE8EEfe7C74B0A787768233F5186499,2
0x319f38A6BAb752eD1d809007B0eab1F25cEeb665,2
0xA7296967cce37Ac93076EC09a5b9607d23bbC423,2
0xad7575AEFd4d64520c3269FD24eae1b0E13dbE7B,2
0x4FaF9432F7Dbfe93b67057Bb6aAdDEe6684DEB08,2
0x4a24d4a7c36257E0bF256EA2970708817C597A2C,2
